assignment_id,incident_id,crew_id,assigned_at,estimated_arrival,status,completed_at
ASG-9001,INC-1014,CRW-B,2026-08-20T12:25:29-04:00,2026-08-20T12:47:29-04:00,ON_SITE,
ASG-9002,INC-1015,CRW-B,2026-08-20T12:35:29-04:00,,QUEUED,
ASG-9003,INC-1016,CRW-B,2026-08-20T12:40:29-04:00,,QUEUED,
ASG-9004,INC-1017,CRW-F,2026-08-20T13:15:29-04:00,2026-08-20T13:33:29-04:00,ON_SITE,
ASG-9005,INC-1018,CRW-A,2026-08-18T20:06:29-04:00,2026-08-18T20:26:29-04:00,COMPLETED,2026-08-18T22:23:29-04:00
ASG-9006,INC-1019,CRW-B,2026-08-20T00:13:29-04:00,2026-08-20T00:33:29-04:00,COMPLETED,2026-08-20T03:14:29-04:00
ASG-9007,INC-1020,CRW-C,2026-08-20T07:21:29-04:00,2026-08-20T07:41:29-04:00,COMPLETED,2026-08-20T10:32:29-04:00
ASG-9008,INC-1021,CRW-D,2026-08-19T09:49:29-04:00,2026-08-19T10:09:29-04:00,COMPLETED,2026-08-19T10:54:29-04:00
ASG-9009,INC-1022,CRW-E,2026-08-19T20:46:29-04:00,2026-08-19T21:06:29-04:00,COMPLETED,2026-08-19T23:34:29-04:00
ASG-9010,INC-1023,CRW-F,2026-08-19T12:26:29-04:00,2026-08-19T12:46:29-04:00,COMPLETED,2026-08-19T15:18:29-04:00
