incident_id,reported_at,source,description,incident_type,severity,status,latitude,longitude,address,borough,required_capability,estimated_duration_minutes,road_obstruction,safety_risk,priority_score,duplicate_of,assigned_crew_id,resolved_at
INC-1001,2026-08-21T14:58:46-04:00,PHONE,Huge tree came down on Flatbush Ave near the intersection with 7th Ave. It's blocking one lane completely and cars are swerving around it.,FALLEN_TREE,CRITICAL,OPEN,40.6776,-73.9722,Flatbush Ave & 7th Ave,Brooklyn,TREE_REMOVAL,90,true,true,92,,,
INC-1002,2026-08-21T14:51:46-04:00,APP,Water pooling across two lanes on Queens Blvd near 63rd Drive after this morning's rain. The storm drain looks completely clogged and traffic is backing up.,FLOODING,HIGH,OPEN,40.7297,-73.8619,Queens Blvd & 63rd Dr,Queens,DRAINAGE,120,true,false,63,,,
INC-1003,2026-08-21T14:34:46-04:00,PHONE,Deep pothole on W 23rd St right before the 8th Ave crosswalk. My car bottomed out driving over it this morning.,POTHOLE,MEDIUM,OPEN,40.7453,-73.9977,W 23rd St & 8th Ave,Manhattan,ROAD_REPAIR,45,false,false,35,,,
INC-1004,2026-08-21T13:02:46-04:00,APP,Streetlight has been out for two nights on Bedford near N 7th. The corner is really dark after sunset.,STREETLIGHT_OUT,LOW,OPEN,40.718,-73.957,Bedford Ave & N 7th St,Brooklyn,ELECTRICAL,30,false,false,23,,,
INC-1005,2026-08-21T10:02:46-04:00,PHONE,Fresh spray-paint tags covering the wall under the elevated tracks at Astoria Blvd and 31st St.,GRAFFITI,LOW,OPEN,40.7644,-73.9235,Astoria Blvd & 31st St,Queens,GENERAL_MAINTENANCE,40,false,false,23,,,
INC-1006,2026-08-21T10:32:46-04:00,APP,Someone tagged the whole underpass wall by the Astoria Blvd station. Looks like it happened overnight.,GRAFFITI,LOW,OPEN,40.7648,-73.923,Astoria Blvd & 31st St,Queens,GENERAL_MAINTENANCE,40,false,false,23,,,
INC-1007,2026-08-21T12:02:46-04:00,PHONE,Sidewalk slabs are heaved up about four inches outside the pharmacy on Grand Concourse. An older man tripped there yesterday.,SIDEWALK_HAZARD,MEDIUM,OPEN,40.827,-73.923,Grand Concourse & E 170th St,Bronx,ROAD_REPAIR,60,false,true,50,,,
INC-1008,2026-08-21T07:02:46-04:00,APP,The stop sign at Hylan and New Dorp Lane is bent sideways and hard to see until you're right at the corner.,DAMAGED_SIGN,LOW,OPEN,40.59,-74.1,Hylan Blvd & New Dorp Ln,Staten Island,SIGNAGE,25,false,false,23,,,
INC-1009,2026-08-21T14:02:46-04:00,PHONE,Cluster of potholes in the right lane of Northern Blvd at 82nd St.,POTHOLE,MEDIUM,OPEN,40.756,-73.885,Northern Blvd & 82nd St,Queens,ROAD_REPAIR,45,false,false,38,,,
INC-1010,2026-08-21T14:07:46-04:00,APP,"Big pothole on Northern Blvd near 88th St, right where the buses pull in.",POTHOLE,MEDIUM,OPEN,40.7566,-73.879,Northern Blvd & 88th St,Queens,ROAD_REPAIR,45,false,false,38,,,
INC-1011,2026-08-21T14:12:46-04:00,PHONE,Pavement is breaking up on Northern Blvd around 94th St. A few small potholes forming.,POTHOLE,LOW,OPEN,40.7572,-73.873,Northern Blvd & 94th St,Queens,ROAD_REPAIR,45,false,false,20,,,
INC-1012,2026-08-21T14:22:46-04:00,APP,The traffic light at 125th and Lenox is stuck on red in every direction. Drivers are getting impatient and running it.,TRAFFIC_SIGNAL,HIGH,OPEN,40.8078,-73.9454,W 125th St & Lenox Ave,Manhattan,ELECTRICAL,60,false,true,64,,,
INC-1013,2026-08-21T13:32:46-04:00,PHONE,A mattress and a broken dresser are sitting in the service lane of Ocean Pkwy near Avenue P. Cars keep merging around them.,ROAD_OBSTRUCTION,MEDIUM,OPEN,40.61,-73.967,Ocean Pkwy & Avenue P,Brooklyn,GENERAL_MAINTENANCE,30,true,false,52,,,
INC-1014,2026-08-21T12:32:46-04:00,APP,Pothole the size of a manhole cover on the FDR service road. Multiple cars have blown tires this morning.,POTHOLE,HIGH,IN_PROGRESS,40.762,-73.951,FDR Dr Service Rd & E 71st St,Manhattan,ROAD_REPAIR,45,true,false,70,,CRW-B,
